
ZoneName                            ZoneType        IsAutoCreated   IsDsIntegrated  IsReverseLookupZone  IsSig
                                                                                                         ned  
--------                            --------        -------------   --------------  -------------------  -----
_msdcs.ASIR.LOCAL                   Primary         False           True            False                False
0.in-addr.arpa                      Primary         True            False           True                 False
127.in-addr.arpa                    Primary         True            False           True                 False
255.in-addr.arpa                    Primary         True            False           True                 False
70.168.192.in-addr.arpa             Primary         False           True            True                 False
75.168.192.in-addr.arpa             Primary         False           True            True                 False
ASIR.LOCAL                          Primary         False           True            False                False
TrustAnchors                        Primary         False           True            False                False


